Node Kind,Node Size,Count
Inner,1,9038
Inner,2,2250865
Inner,3,491872
Inner,4,955162
Inner,5,1545670
Inner,6,2078367
Inner,7,2382854
Inner,8,2378444
Inner,9,2104310
Inner,10,1668187
Inner,11,1200149
Inner,12,785079
Inner,13,471787
Inner,14,263042
Inner,15,135578
Inner,16,66390
Inner,17,29834
Inner,18,12657
Inner,19,5114
Inner,20,1917
Inner,21,701
Inner,22,248
Inner,23,89
Inner,24,30
Inner,25,8
Inner,26,2
Inner,253,4
Inner,254,205
Inner,255,4772
Inner,256,60812
Leaf,0,46132219
Leaf,1,74475481
Leaf,2,9166123
Leaf,3,2464901
Leaf,4,573516
Leaf,5,1419754
Leaf,6,184540
Leaf,7,371628
Leaf,8,100901
Leaf,9,23425
Leaf,10,83364
Leaf,11,21628
Leaf,12,13341
Leaf,13,12187
Leaf,14,152566
Leaf,15,31367
Leaf,16,23153
Leaf,17,9849
Leaf,18,5690
Leaf,19,3658
Leaf,20,4383
Leaf,21,3129
Leaf,22,3161
Leaf,23,3953
Leaf,24,2694
Leaf,25,2660
Leaf,26,2512
Leaf,27,2783
Leaf,28,2452
Leaf,29,6317
Leaf,30,2593
Leaf,31,2396
Leaf,32,2212
Leaf,33,3333
Leaf,34,3957
Leaf,35,3046
Leaf,36,4241
Leaf,37,3012
Leaf,38,4451
Leaf,39,13008
Leaf,40,17155
Leaf,41,7775
Leaf,42,2181
Leaf,43,1262
Leaf,44,2003
Leaf,45,1093
Leaf,46,817
Leaf,47,1002
Leaf,48,930
Leaf,49,608
Leaf,50,1218
Leaf,51,1650
Leaf,52,1338
Leaf,53,1185
Leaf,54,1030
Leaf,55,555
Leaf,56,3034
Leaf,57,2162
Leaf,58,853
Leaf,59,785
Leaf,60,1093
Leaf,61,5355
Leaf,62,1020
Leaf,63,883
Leaf,64,3841
Leaf,65,809
Leaf,66,869
Leaf,67,1211
Leaf,68,1328
Leaf,69,792
Leaf,70,1350
Leaf,71,970
Leaf,72,732
Leaf,73,1242
Leaf,74,1735
Leaf,75,1736
Leaf,76,834
Leaf,77,915
Leaf,78,796
Leaf,79,728
Leaf,80,2520
Leaf,81,1435
Leaf,82,3675
Leaf,83,751
Leaf,84,2828
Leaf,85,973
Leaf,86,680
Leaf,87,968
Leaf,88,1083
Leaf,89,852
Leaf,90,696
Leaf,91,592
Leaf,92,937
Leaf,93,671
Leaf,94,1907
Leaf,95,648
Leaf,96,658
Leaf,97,895
Leaf,98,751
Leaf,99,890
Leaf,100,4099
Leaf,101,712
Leaf,102,740
Leaf,103,575
Leaf,104,923
Leaf,105,1636
Leaf,106,499
Leaf,107,3377
Leaf,108,758
Leaf,109,572
Leaf,110,578
Leaf,111,830
Leaf,112,655
Leaf,113,657
Leaf,114,563
Leaf,115,834
Leaf,116,663
Leaf,117,519
Leaf,118,531
Leaf,119,1052
Leaf,120,1215
Leaf,121,631
Leaf,122,857
Leaf,123,509
Leaf,124,2141
Leaf,125,544
Leaf,126,624
Leaf,127,773
Leaf,128,582
Leaf,129,2262
Leaf,130,19483
Leaf,131,8441
Leaf,132,7232
Leaf,133,7374
Leaf,134,8633
Leaf,135,6197
Leaf,136,4327
Leaf,137,3741
Leaf,138,6568
Leaf,139,2673
Leaf,140,4099
Leaf,141,5042
Leaf,142,3788
Leaf,143,1433
Leaf,144,3826
Leaf,145,1353
Leaf,146,6460
Leaf,147,831
Leaf,148,2594
Leaf,149,615
Leaf,150,469
Leaf,151,529
Leaf,152,472
Leaf,153,622
Leaf,154,449
Leaf,155,362
Leaf,156,2191
Leaf,157,294
Leaf,158,242
Leaf,159,233
Leaf,160,361
Leaf,161,290
Leaf,162,411
Leaf,163,261
Leaf,164,215
Leaf,165,421
Leaf,166,297
Leaf,167,477
Leaf,168,218
Leaf,169,196
Leaf,170,187
Leaf,171,243
Leaf,172,172
Leaf,173,213
Leaf,174,212
Leaf,175,191
Leaf,176,259
Leaf,177,417
Leaf,178,1319
Leaf,179,185
Leaf,180,268
Leaf,181,283
Leaf,182,330
Leaf,183,181
Leaf,184,195
Leaf,185,350
Leaf,186,1226
Leaf,187,195
Leaf,188,332
Leaf,189,324
Leaf,190,247
Leaf,191,371
Leaf,192,337
Leaf,193,165
Leaf,194,424
Leaf,195,245
Leaf,196,108
Leaf,197,206
Leaf,198,181
Leaf,199,163
Leaf,200,456
Leaf,201,135
Leaf,202,151
Leaf,203,2346
Leaf,204,199
Leaf,205,128
Leaf,206,121
Leaf,207,355
Leaf,208,254
Leaf,209,144
Leaf,210,140
Leaf,211,225
Leaf,212,141
Leaf,213,119
Leaf,214,106
Leaf,215,103
Leaf,216,189
Leaf,217,135
Leaf,218,219
Leaf,219,160
Leaf,220,199
Leaf,221,162
Leaf,222,169
Leaf,223,167
Leaf,224,142
Leaf,225,152
Leaf,226,115
Leaf,227,128
Leaf,228,125
Leaf,229,137
Leaf,230,103
Leaf,231,126
Leaf,232,176
Leaf,233,109
Leaf,234,144
Leaf,235,174
Leaf,236,151
Leaf,237,231
Leaf,238,138
Leaf,239,329
Leaf,240,124
Leaf,241,118
Leaf,242,122
Leaf,243,118
Leaf,244,181
Leaf,245,136
Leaf,246,182
Leaf,247,96
Leaf,248,103
Leaf,249,122
Leaf,250,5427
Leaf,251,190
Leaf,252,88
Leaf,253,202
Leaf,254,109
Leaf,255,119
Leaf,256,78955
